
66.328 46.441 -46.524, 78.149 17.683 -46.524, 77.929 17.44 -46.524, 78.149 17.683 -46.524, 109.035 16.921 -46.524, 109.037 16.918 -46.524, 109.035 16.921 -46.524, 150.316 39.558 -46.524, 
150.316 39.558 -48.024, 109.035 16.921 -48.024, 109.037 16.918 -48.024, 109.035 16.921 -48.024, 78.149 17.683 -48.024, 77.929 17.44 -48.024, 78.149 17.683 -48.024, 66.328 46.441 -48.024, 
66.328 46.441 -49.524, 78.149 17.683 -49.524, 77.929 17.44 -49.524, 78.149 17.683 -49.524, 109.035 16.921 -49.524, 109.037 16.918 -49.524, 109.035 16.921 -49.524, 150.316 39.558 -49.524, 
150.316 39.558 -51.024, 109.035 16.921 -51.024, 109.037 16.918 -51.024, 109.035 16.921 -51.024, 78.149 17.683 -51.024, 77.929 17.44 -51.024, 78.149 17.683 -51.024, 66.328 46.441 -51.024, 
66.328 46.441 -52.524, 78.149 17.683 -52.524, 77.929 17.44 -52.524, 78.149 17.683 -52.524, 109.035 16.921 -52.524, 109.037 16.918 -52.524, 109.035 16.921 -52.524, 150.316 39.558 -52.524, 
150.316 39.558 -54.024, 109.035 16.921 -54.024, 109.037 16.918 -54.024, 109.035 16.921 -54.024, 78.149 17.683 -54.024, 77.929 17.44 -54.024, 78.149 17.683 -54.024, 66.328 46.441 -54.024, 
66.328 46.441 -55.524, 78.149 17.683 -55.524, 77.929 17.44 -55.524, 78.149 17.683 -55.524, 109.035 16.921 -55.524, 109.037 16.918 -55.524, 109.035 16.921 -55.524, 150.316 39.558 -55.524, 
150.316 39.558 -57.024, 109.035 16.921 -57.024, 109.037 16.918 -57.024, 109.035 16.921 -57.024, 78.149 17.683 -57.024, 77.929 17.44 -57.024, 78.149 17.683 -57.024, 66.328 46.441 -57.024, 
66.328 46.441 -58.524, 78.149 17.683 -58.524, 77.929 17.44 -58.524, 78.149 17.683 -58.524, 109.035 16.921 -58.524, 109.037 16.918 -58.524, 109.035 16.921 -58.524, 150.316 39.558 -58.524, 
150.316 39.558 -60.024, 109.035 16.921 -60.024, 109.037 16.918 -60.024, 109.035 16.921 -60.024, 78.149 17.683 -60.024, 77.929 17.44 -60.024, 78.149 17.683 -60.024, 66.328 46.441 -60.024, 
66.328 46.441 -61.524, 78.149 17.683 -61.524, 77.929 17.44 -61.524, 78.149 17.683 -61.524, 109.035 16.921 -61.524, 109.037 16.918 -61.524, 109.035 16.921 -61.524, 150.316 39.558 -61.524, 
150.316 39.558 -63.024, 109.035 16.921 -63.024, 109.037 16.918 -63.024, 109.035 16.921 -63.024, 78.149 17.683 -63.024, 77.929 17.44 -63.024, 78.149 17.683 -63.024, 66.328 46.441 -63.024, 
66.328 46.441 -64.524, 78.149 17.683 -64.524, 77.929 17.44 -64.524, 78.149 17.683 -64.524, 109.035 16.921 -64.524, 109.037 16.918 -64.524, 109.035 16.921 -64.524, 150.316 39.558 -64.524, 
150.316 39.558 -66.024, 109.035 16.921 -66.024, 109.037 16.918 -66.024, 109.035 16.921 -66.024, 78.149 17.683 -66.024, 77.929 17.44 -66.024, 78.149 17.683 -66.024, 66.328 46.441 -66.024, 
66.328 46.441 -67.524, 78.149 17.683 -67.524, 77.929 17.44 -67.524, 78.149 17.683 -67.524, 109.035 16.921 -67.524, 109.037 16.918 -67.524, 109.035 16.921 -67.524, 150.316 39.558 -67.524, 
150.316 39.558 -69.024, 109.035 16.921 -69.024, 109.037 16.918 -69.024, 109.035 16.921 -69.024, 78.149 17.683 -69.024, 77.929 17.44 -69.024, 78.149 17.683 -69.024, 66.328 46.441 -69.024, 
66.328 46.441 -70.524, 78.149 17.683 -70.524, 77.929 17.44 -70.524, 78.149 17.683 -70.524, 109.035 16.921 -70.524, 109.037 16.918 -70.524, 109.035 16.921 -70.524, 150.316 39.558 -70.524, 
150.316 39.558 -72.024, 109.035 16.921 -72.024, 109.037 16.918 -72.024, 109.035 16.921 -72.024, 78.149 17.683 -72.024, 77.929 17.44 -72.024, 78.149 17.683 -72.024, 66.328 46.441 -72.024, 
66.328 46.441 -73.524, 78.149 17.683 -73.524, 77.929 17.44 -73.524, 78.149 17.683 -73.524, 109.035 16.921 -73.524, 109.037 16.918 -73.524, 109.035 16.921 -73.524, 
